Indices with the equal value of the average in the column
Column 1 | average = 0.492583: 
Column 273 | average = 0.500099: 192, 306, 318, 556, 726, 783, 857, 884, 962, 971, 1121, 1134, 1140, 1153, 1169, 1267, 1353, 1394, 1456, 1474, 1741, 1833, 2076, 2123, 2188, 2350, 2435, 2622, 2697, 3167, 3183, 3187, 3276, 3336, 3374, 3604, 3614, 3729, 3739, 3786, 3983, 4054, 4216, 4586, 4590, 4723, 4742, 4850, 4943, 5140, 5256, 5386, 5400, 5468, 5489, 5579, 5674, 5793, 5852, 5855, 5931, 6070, 6085, 6620, 6731, 6929, 6952, 7228, 7261, 7314, 7351, 7461, 7642, 7685, 7722, 7905, 7998, 8011, 8420, 8570, 8633, 8647, 8670, 8683, 9387, 9730, 9779, 9803, 9825, 9830, 9912, 
Column 274 | average = 0.499411: 
Column 275 | average = 0.498342: 
Column 276 | average = 0.497199: 
Column 277 | average = 0.499309: 
Column 278 | average = 0.492923: 
Column 279 | average = 0.491566: 
Column 280 | average = 0.498296: 
Column 281 | average = 0.497263: 
Column 282 | average = 0.495675: 
Column 283 | average = 0.491846: 
Column 284 | average = 0.496979: 
Column 285 | average = 0.496867: 
Column 286 | average = 0.492489: 
Column 287 | average = 0.495676: 
Column 288 | average = 0.499052: 
Column 289 | average = 0.499207: 
Column 290 | average = 0.493945: 
Column 291 | average = 0.496257: 
Column 292 | average = 0.492044: 
Column 293 | average = 0.498697: 
Column 294 | average = 0.493000: 
Column 295 | average = 0.497085: 
Column 296 | average = 0.493494: 
Column 297 | average = 0.494929: 
Column 298 | average = 0.498422: 
Column 299 | average = 0.492520: 
Column 300 | average = 0.496484: 
Column 301 | average = 0.493237: 
Column 302 | average = 0.492778: 
Column 303 | average = 0.493219: 
Column 304 | average = 0.499038: 
Column 305 | average = 0.487809: 
Column 306 | average = 0.495767: 
Column 307 | average = 0.496553: 
Column 308 | average = 0.497073: 
Column 309 | average = 0.491811: 
Column 310 | average = 0.500712: 25, 65, 84, 172, 202, 301, 497, 510, 535, 646, 705, 751, 853, 1287, 1359, 1457, 1483, 1567, 1602, 1896, 2155, 2226, 2466, 2726, 2766, 2831, 2854, 3032, 3091, 3207, 3321, 3372, 3375, 3544, 3658, 3694, 3800, 3822, 3842, 3855, 3988, 4100, 4243, 4254, 4405, 4557, 4670, 4741, 4779, 4970, 5075, 5096, 5234, 5495, 5548, 5587, 5608, 5760, 5775, 5828, 5895, 5969, 5973, 5998, 6212, 6264, 6306, 6430, 6460, 6493, 6904, 6913, 6943, 6998, 7103, 7214, 7291, 7402, 7411, 7468, 7521, 7544, 7585, 7598, 7750, 7894, 8025, 8033, 8057, 8199, 8340, 8623, 8871, 8950, 9119, 9142, 9224, 9254, 9261, 9318, 9357, 9536, 9572, 9682, 9737, 9768, 9868, 9898, 
Column 311 | average = 0.494892: 
Column 312 | average = 0.491402: 
Column 313 | average = 0.494323: 
Column 314 | average = 0.495655: 
Column 315 | average = 0.491994: 
Column 316 | average = 0.497403: 
Column 317 | average = 0.492051: 
Column 318 | average = 0.491237: 
Column 319 | average = 0.494338: 
Column 320 | average = 0.495758: 
Column 321 | average = 0.497052: 
Column 322 | average = 0.492821: 
Column 323 | average = 0.494468: 
Column 324 | average = 0.496578: 
Column 325 | average = 0.497416: 
Column 326 | average = 0.497285: 
Column 327 | average = 0.497290: 
Column 328 | average = 0.495756: 
Column 329 | average = 0.493500: 
Column 330 | average = 0.498962: 
Column 331 | average = 0.495433: 
Column 332 | average = 0.492380: 
Column 333 | average = 0.492980: 
Column 334 | average = 0.494907: 
Column 335 | average = 0.487494: 
Column 336 | average = 0.496473: 
Column 337 | average = 0.492964: 
Column 338 | average = 0.497607: 
Column 339 | average = 0.494427: 
Column 340 | average = 0.497056: 
Column 341 | average = 0.494287: 
Column 342 | average = 0.494447: 
Column 343 | average = 0.490862: 50, 71, 119, 221, 613, 657, 692, 1213, 1224, 1294, 1337, 1381, 1805, 1879, 1880, 2036, 2236, 2362, 2523, 2549, 2621, 2970, 3017, 3086, 3145, 3303, 3501, 3517, 3640, 3670, 3756, 3766, 3791, 3897, 3965, 4287, 4314, 4793, 4887, 4917, 5026, 5046, 5209, 5277, 5362, 5643, 5751, 5824, 5850, 5889, 6053, 6260, 6324, 6462, 6480, 6549, 6613, 6739, 6771, 6948, 6958, 7021, 7043, 7225, 7312, 7358, 7388, 7538, 7582, 7936, 7992, 8025, 8048, 8066, 8268, 8386, 8502, 8514, 8576, 8657, 8659, 8811, 8974, 8979, 9061, 9562, 9699, 9713, 9838, 9926, 9972, 
Column 344 | average = 0.496143: 
Column 345 | average = 0.492374: 
Column 346 | average = 0.491859: 
Column 347 | average = 0.493423: 
Column 348 | average = 0.489485: 
Column 349 | average = 0.489915: 
Column 350 | average = 0.490970: 8, 51, 122, 140, 155, 173, 413, 485, 501, 557, 653, 700, 713, 825, 880, 881, 886, 1089, 1162, 1172, 1183, 1228, 1408, 1491, 1639, 1692, 1748, 1843, 1881, 2116, 2167, 2374, 2461, 2571, 2729, 2731, 2785, 2841, 3199, 3216, 3265, 3282, 3308, 3316, 3395, 3636, 3705, 4013, 4233, 4279, 4309, 4339, 4434, 4459, 4466, 4472, 4740, 5129, 5201, 5226, 5350, 5389, 5423, 5487, 5534, 5564, 5604, 5641, 5759, 5821, 5856, 5898, 5916, 6030, 6298, 6326, 6462, 6520, 6892, 7000, 7063, 7157, 7312, 7449, 7544, 7632, 7876, 7943, 7966, 8033, 8098, 8260, 8510, 8735, 8794, 8944, 9056, 9354, 9421, 9536, 9589, 9659, 9732, 9823, 9967, 
Column 351 | average = 0.494692: 
Column 352 | average = 0.493567: 
Column 353 | average = 0.493044: 
Column 354 | average = 0.494861: 
Column 355 | average = 0.491803: 
Column 356 | average = 0.494149: 
Column 357 | average = 0.498919: 
Column 358 | average = 0.492553: 
Column 359 | average = 0.497788: 
Column 360 | average = 0.491399: 
Column 361 | average = 0.491252: 
Column 362 | average = 0.496098: 
Column 363 | average = 0.489764: 
Column 364 | average = 0.490729: 59, 106, 478, 607, 772, 1138, 1161, 1245, 1281, 1296, 1310, 1332, 1589, 1615, 2221, 2235, 2282, 2297, 2557, 2708, 2798, 2835, 3033, 3096, 3253, 3298, 3395, 3444, 3468, 3763, 3838, 4030, 4056, 4110, 4113, 4146, 4181, 4235, 4267, 4347, 4451, 4500, 4547, 4620, 4824, 4861, 4942, 5030, 5203, 5291, 5318, 5686, 5710, 5803, 6095, 6110, 6114, 6134, 6182, 6218, 6224, 6331, 6359, 6590, 6805, 7137, 7149, 7160, 7262, 7321, 7444, 7532, 7582, 7675, 7693, 7931, 8197, 8208, 8330, 8395, 8498, 8628, 8707, 8798, 8956, 9116, 9317, 9369, 9413, 9431, 9481, 9622, 9754, 9909, 9945, 
Column 365 | average = 0.499833: 
Column 366 | average = 0.493747: 
Column 367 | average = 0.496038: 
Column 368 | average = 0.499589: 
Column 369 | average = 0.497697: 
Column 370 | average = 0.494618: 
Column 371 | average = 0.496597: 
Column 372 | average = 0.491131: 
Column 373 | average = 0.490074: 27, 66, 69, 120, 304, 349, 355, 781, 820, 1033, 1260, 1586, 1682, 1688, 1943, 2172, 2295, 2382, 2385, 2688, 2701, 2720, 2828, 2997, 3176, 3252, 3332, 3400, 3411, 3572, 3686, 3817, 3825, 3990, 4200, 4649, 4688, 4730, 4786, 4947, 5110, 5117, 5668, 5879, 5884, 6173, 6197, 6324, 6415, 6513, 6614, 6715, 6760, 6853, 7036, 7127, 7288, 7407, 7426, 7668, 7670, 7683, 8074, 8212, 8337, 8581, 8810, 8949, 8971, 9122, 9263, 9360, 9484, 9578, 9647, 9798, 9904, 9955, 
Column 374 | average = 0.497369: 
Column 375 | average = 0.494008: 
Column 376 | average = 0.494447: 
Column 377 | average = 0.492124: 
Column 378 | average = 0.489868: 
Column 379 | average = 0.497245: 
Column 380 | average = 0.495997: 
Column 381 | average = 0.492556: 
Column 382 | average = 0.499183: 
Column 383 | average = 0.492056: 
Column 384 | average = 0.497850: 
Column 385 | average = 0.494899: 
Column 386 | average = 0.494588: 
Column 387 | average = 0.495713: 
Column 388 | average = 0.497143: 
Column 389 | average = 0.494254: 
Column 390 | average = 0.496413: 
Column 391 | average = 0.498714: 
Column 392 | average = 0.493075: 
Column 393 | average = 0.496969: 
Column 394 | average = 0.492805: 
Column 395 | average = 0.497903: 
Column 396 | average = 0.496773: 
Column 397 | average = 0.489322: 
Column 398 | average = 0.498371: 
Column 399 | average = 0.497117: 
Column 400 | average = 0.494705: 
Column 401 | average = 0.495017: 
Column 402 | average = 0.495037: 
Column 403 | average = 0.498155: 
Column 404 | average = 0.492533: 
Column 405 | average = 0.496741: 
Column 406 | average = 0.491617: 
Column 407 | average = 0.495959: 
Column 408 | average = 0.492817: 
Column 409 | average = 0.496200: 
Column 410 | average = 0.492602: 
Column 411 | average = 0.495527: 
Column 412 | average = 0.497081: 
Column 413 | average = 0.496576: 
Column 414 | average = 0.496656: 
Column 415 | average = 0.495756: 
